	-250	-240	-230	-220	-210	-200	-190	-180	-170	-160	-150	-140	-130	-120	-110	-100	-90	-80	-70	-60	-50	-40	-30	-20	-10	0	10	20	30	40	50	60	70	80	90	100	110	120	130	140	150	160	170	180	190	200	210	220	230	240	250	
2	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
3	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
4	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
5	25	25	25	25	25	25	20	16	12	8	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	0	-1	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4	-8	-12	-16	-20	-25	-25	-25	-25	-25	-25	
6	25	25	25	25	25	25	21	17	13	9	6	6	6	6	6	6	6	6	6	6	6	6	6	8	3	0	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-7	-10	-14	-17	-22	-22	-22	-22	-22	-22	
7	25	25	25	25	25	25	20	18	14	12	9	9	9	9	9	9	9	9	9	9	9	9	9	11	5	0	0	-2	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-6	-9	-12	-13	-19	-19	-19	-19	-19	-19	
8	25	25	25	25	25	25	19	17	17	15	12	12	12	12	12	12	12	12	12	12	12	12	12	12	5	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-6	-9	-9	-10	-16	-16	-16	-16	-16	-16	
9	25	25	25	25	25	25	19	20	20	19	18	18	18	18	18	18	18	18	18	18	18	18	18	18	5	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-6	-6	-6	-7	-11	-11	-11	-11	-11	-11	
10	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-2	-2	-4	-4	-4	-4	-4	-4	
11	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-2	-3	-4	-4	-4	-4	-4	-4	
